VP,Name,Km,Leg to next (km),ETA,Cut-off,Margin,Air °C,Block,Drink on leg (ml),of which MIX (ml),of which WATER (ml),Ratio,Carbs on leg (g),Carry vs 1350 ml,Fresh 90 g portion here?,Salt at this VP,Cooling at this VP,Notes
Start,Friedrich-Ludwig-Jahnsportpark,0.0,7.7,06:00,,,20,A,611,611,0,mix only,61,45%,no — top up,—  (mix carries it),—,
VP 1,S-Bahnhof Wilhelmsruh,7.7,5.6,06:49,07:17,+0:28,21,A,444,444,0,mix only,44,33%,YES × 1,—  (mix carries it),—,
VP 2,Lauftreff Lübars,13.3,5.5,07:24,08:14,+0:49,22,A,436,436,0,mix only,44,32%,no — top up,—  (mix carries it),—,
VP 3,Oranienburger Chaussee,18.8,4.3,07:59,09:09,+1:09,22,A,341,341,0,mix only,34,25%,YES × 1,—  (mix carries it),—,
VP 4,Hohen Neuendorf,23.1,4.7,08:27,09:53,+1:26,24,A,373,373,0,mix only,37,28%,no — top up,—  (mix carries it),douse head/neck/arms,
VP 5,Frohnau,27.8,5.3,08:56,10:40,+1:43,25,A,420,420,0,mix only,42,31%,no — top up,—  (mix carries it),douse head/neck/arms,Last cool VP. Start dousing here if not already.
VP 6 / WP 1,Ruderclub Oberhavel — DROP BAG 1,33.1,4.8,09:30,11:34,+2:04,26,B,440,440,0,mix only,44,33%,YES × 1,2 FastChews (dry),"douse + rewet bandana, cap, sleeves","ICE → both mix flasks first, then bandana. 4 × 90 g out. Sunscreen. Shoe abort decision (Evo SL)."
VP 7,Grenzturm Nieder Neuendorf,37.9,7.3,10:03,12:22,+2:19,28,B,669,669,0,mix only,67,50%,YES × 1,—,"douse + rewet bandana, cap, sleeves",
VP 8,Schönwalde,45.2,5.8,10:53,13:36,+2:42,31,B,532,532,0,mix only,53,39%,no — top up,2 FastChews (dry),"douse + rewet bandana, cap, sleeves","DE-ESCALATION CHECK. If it is clearly staying under 30 °C, hold mix-only all day and drop the water ratio."
VP 9,Falkenseer Chaussee,51.0,6.8,11:33,14:35,+3:01,32,B,623,415,208,2 mix : 1 water,42,46%,YES × 1,1 U Hydrate → water flask,"douse + rewet bandana, cap, sleeves",RATIO STEP-DOWN → 2 mix : 1 water. First honest read on whether 10 % is sitting well in heat — 19 km to adjust before the crux.
VP 10,Karolinenhöhe,57.8,4.7,12:20,15:43,+3:23,34,B,431,287,144,2 mix : 1 water,29,32%,no — top up,2 FastChews (dry),"douse + rewet bandana, cap, sleeves",
VP 11,Pagel & Friends,62.5,7.7,12:52,16:31,+3:38,35,B,706,470,235,2 mix : 1 water,47,52%,YES × 1,1 U Hydrate → water flask,"douse + rewet bandana, cap, sleeves",
VP 12 / WP 2,Schloss Sacrow — DROP BAG 2,70.2,5.9,13:45,17:49,+4:03,36,C,705,470,235,2 mix : 1 water,47,52%,no — top up,2 FastChews (dry),MAX — douse + rewet + ice if you have it,"ICE → flasks first. 4 × 90 g out. THE decision point: hip, posture, GI, urine, cooling. Take the time."
VP 13,Revierförsterei Krampnitz,76.1,5.8,14:30,18:48,+4:18,36,C,693,462,231,2 mix : 1 water,46,51%,YES × 1,1 U Hydrate → water flask,MAX — douse + rewet + ice if you have it,
VP 14,Brauhaus Meierei,81.9,7.1,15:13,19:47,+4:33,37,C,848,566,283,2 mix : 1 water,57,63%,no — top up,2 FastChews (dry),MAX — douse + rewet + ice if you have it,
VP 15,Gedenkstätte Griebnitzsee,89.0,6.8,16:07,20:58,+4:51,37,C,813,542,271,2 mix : 1 water,54,60%,YES × 1,1 U Hydrate → water flask,MAX — douse + rewet + ice if you have it,
VP 16,Königsweg,95.8,6.2,16:58,22:20,+5:21,37,C,741,494,247,2 mix : 1 water,49,55%,no — top up,2 FastChews (dry),MAX — douse + rewet + ice if you have it,Last VP before the drop bag. Check you can reach Teltow on what you carry.
VP 17 / WP 3,Sportplatz Teltow — DROP BAG 3,102.0,6.8,17:45,23:34,+5:48,36,D,680,510,170,3 mix : 1 water,51,50%,YES × 1,1 U Hydrate → water flask,"douse + rewet bandana, cap, sleeves","NIGHT GEAR. 6 × 90 g out — 60 km on this bag. First caffeine 100 mg. Thermos = cold water, ice is a bonus. Ratio eases to 3:1."
VP 18,Osdorfer Straße,108.8,6.2,18:36,00:43,+6:06,35,D,620,465,155,3 mix : 1 water,47,46%,no — top up,2 FastChews (dry),"douse + rewet bandana, cap, sleeves",
VP 19,Lichtenrade,115.0,8.7,19:23,01:57,+6:34,34,D,870,653,218,3 mix : 1 water,65,64%,YES × 1,1 U Hydrate → water flask,"douse + rewet bandana, cap, sleeves",
VP 20,Buckow,123.7,6.9,20:28,03:42,+7:14,33,D,690,517,172,3 mix : 1 water,52,51%,YES × 1,2 FastChews (dry),"douse + rewet bandana, cap, sleeves","Dörferblick — walk the climb, as planned."
VP 21,Rudow,130.6,5.9,21:20,05:05,+7:45,31,E,505,505,0,mix only,51,37%,no — top up,1 U Hydrate → water flask,douse + rewet,Headlamp + reflective vest ON by here (mandatory 21:00–06:00). Back to mix only.
VP 22,Johannisthaler Chaussee,136.5,5.7,22:10,06:15,+8:04,29,E,488,488,0,mix only,49,36%,YES × 1,—,douse + rewet,
VP 23,Dammweg,142.2,5.9,22:59,07:31,+8:32,28,E,505,505,0,mix only,51,37%,no — top up,—,douse + rewet,
VP 24,East Side Gallery,148.1,4.7,23:49,08:50,+9:00,26,E,402,402,0,mix only,40,30%,YES × 1,1 U Hydrate → water flask,—,U Intend 250 mg.
VP 25,Checkpoint Charlie,152.8,4.5,00:30,09:53,+9:23,26,E,385,385,0,mix only,39,29%,no — top up,—,—,
VP 26,Gedenkstätte Günter Litfin,157.3,4.8,01:08,10:53,+9:44,25,E,411,411,0,mix only,41,30%,YES × 1,—,—,
Ziel,Friedrich-Ludwig-Jahnsportpark,162.1,,01:49,12:00,+10:10,24,E,,,,,,,—,—,—,Done.
